10,1	8
10,3	1
10,4	1
11,4	1
12,1	3
12,3	1
12,4	2
13,1	2
13,3	4
13,4	2
14,1	4
14,3	1
14,4	1
15,1	7
15,3	4
16,1	10
16,3	1
16,4	2
17,1	11
17,3	2
17,4	2
18,1	10
18,3	5
18,4	1
19,1	7
19,4	1
2,1	2
20,1	7
20,3	3
20,4	2
21,1	7
21,3	2
22,1	6
22,3	3
22,4	2
23,1	11
23,3	5
23,4	1
24,1	8
24,3	1
25,1	8
25,3	4
25,4	2
26,1	14
26,3	10
26,4	1
27,1	14
27,3	3
27,4	1
28,1	13
28,3	5
28,4	1
29,1	14
29,3	2
29,4	1
3,1	1
3,3	1
3,4	1
30,1	15
31,1	17
31,3	3
32,1	13
32,3	1
32,4	1
33,1	17
33,3	2
34,1	15
35,1	36
35,3	1
36,1	45
37,1	28
38,1	20
39,1	19
39,4	1
4,3	3
4,4	1
40,1	16
41,1	22
42,1	20
43,1	30
43,4	1
44,1	20
45,1	23
46,1	25
46,4	1
47,1	15
47,4	1
48,1	13
49,1	26
5,1	5
5,3	1
50,1	24
51,1	7
52,1	247
52,4	1
6,1	4
6,3	2
7,1	1
7,3	3
8,1	2
9,3	2
